"pid";"vid";"name";"price";"disc";"qty";"detail";"category";"imgurl";"upload_date"
"37";"13";"Men Casual Shirt";"1499";"74";"120";"Welcome to the captivating world of fashion, where style, expression, and individuality converge to create an enchanting tapestry of trends and timeless elegance. Our fashion category offers a curated collection of clothing, accessories, and footwear that cater to every taste and occasion.

Step into a realm of endless possibilities, where you can explore a myriad of styles, from classic and sophisticated to bold and avant-garde. Discover a fusion of contemporary designs and vintage aesthetics, providing something for every fashion enthusiast.

Our clothing selection boasts a diverse range of pieces, from everyday essentials to statement-making outfits. Embrace comfort and confidence with our casual wear, featuring soft fabrics and effortless silhouettes perfect for daily wear. For those special moments, indulge in elegant dresses and sharp suits that exude sophistication and refinement.

Complete your look with our carefully curated accessories, where you'll find exquisite jewelry, stylish handbags, and eye-catching scarves. These little accents can transform any outfit, adding that perfect touch of flair.

Footwear aficionados will be delighted with our collection of shoes that marry fashion with function. From chic heels to comfortable sneakers, our footwear selection ensures you step out in style, no matter the occasion.

We believe in inclusivity and cater to all genders, body types, and ages. Our fashion category celebrates diversity, embracing fashion as a medium for self-expression and empowerment.

Quality is paramount to us, and all our products are sourced from reputable brands and designers who share our commitment to craftsmanship and ethical practices.

As the world of fashion evolves, so do we. Our fashion category is always up-to-date with the latest trends and must-have pieces, making it your go-to destination for staying on the cutting edge of style.

So, whether you're a trendsetter, a fashion-forward individual, or someone seeking timeless elegance, our fashion category promises an exciting and fulfilling shopping experience. Unleash your creativity, explore your personal style, and embrace the magic of fashion with us. Happy shopping!";"Fashion";"../Shared/images/Fashion/Cut Away Collar Casual Shirt.webp";"2023-07-28 19:13:31"
"38";"13";"Men Slim Formal Shirt";"1199";"41";"500";"Welcome to the captivating world of fashion, where style, expression, and individuality converge to create an enchanting tapestry of trends and timeless elegance. Our fashion category offers a curated collection of clothing, accessories, and footwear that cater to every taste and occasion.

Step into a realm of endless possibilities, where you can explore a myriad of styles, from classic and sophisticated to bold and avant-garde. Discover a fusion of contemporary designs and vintage aesthetics, providing something for every fashion enthusiast.

Our clothing selection boasts a diverse range of pieces, from everyday essentials to statement-making outfits. Embrace comfort and confidence with our casual wear, featuring soft fabrics and effortless silhouettes perfect for daily wear. For those special moments, indulge in elegant dresses and sharp suits that exude sophistication and refinement.

Complete your look with our carefully curated accessories, where you'll find exquisite jewelry, stylish handbags, and eye-catching scarves. These little accents can transform any outfit, adding that perfect touch of flair.

Footwear aficionados will be delighted with our collection of shoes that marry fashion with function. From chic heels to comfortable sneakers, our footwear selection ensures you step out in style, no matter the occasion.

We believe in inclusivity and cater to all genders, body types, and ages. Our fashion category celebrates diversity, embracing fashion as a medium for self-expression and empowerment.

Quality is paramount to us, and all our products are sourced from reputable brands and designers who share our commitment to craftsmanship and ethical practices.

As the world of fashion evolves, so do we. Our fashion category is always up-to-date with the latest trends and must-have pieces, making it your go-to destination for staying on the cutting edge of style.

So, whether you're a trendsetter, a fashion-forward individual, or someone seeking timeless elegance, our fashion category promises an exciting and fulfilling shopping experience. Unleash your creativity, explore your personal style, and embrace the magic of fashion with us. Happy shopping!";"Fashion";"../Shared/images/Fashion/Men Slim Formal Shirt.webp";"2023-07-28 19:14:27"
"39";"13";"Men Cotton Dark Green T-Shirt";"1099";"67";"98";"Welcome to the captivating world of fashion, where style, expression, and individuality converge to create an enchanting tapestry of trends and timeless elegance. Our fashion category offers a curated collection of clothing, accessories, and footwear that cater to every taste and occasion.

Step into a realm of endless possibilities, where you can explore a myriad of styles, from classic and sophisticated to bold and avant-garde. Discover a fusion of contemporary designs and vintage aesthetics, providing something for every fashion enthusiast.

Our clothing selection boasts a diverse range of pieces, from everyday essentials to statement-making outfits. Embrace comfort and confidence with our casual wear, featuring soft fabrics and effortless silhouettes perfect for daily wear. For those special moments, indulge in elegant dresses and sharp suits that exude sophistication and refinement.

Complete your look with our carefully curated accessories, where you'll find exquisite jewelry, stylish handbags, and eye-catching scarves. These little accents can transform any outfit, adding that perfect touch of flair.

Footwear aficionados will be delighted with our collection of shoes that marry fashion with function. From chic heels to comfortable sneakers, our footwear selection ensures you step out in style, no matter the occasion.

We believe in inclusivity and cater to all genders, body types, and ages. Our fashion category celebrates diversity, embracing fashion as a medium for self-expression and empowerment.

Quality is paramount to us, and all our products are sourced from reputable brands and designers who share our commitment to craftsmanship and ethical practices.

As the world of fashion evolves, so do we. Our fashion category is always up-to-date with the latest trends and must-have pieces, making it your go-to destination for staying on the cutting edge of style.

So, whether you're a trendsetter, a fashion-forward individual, or someone seeking timeless elegance, our fashion category promises an exciting and fulfilling shopping experience. Unleash your creativity, explore your personal style, and embrace the magic of fashion with us. Happy shopping!";"Fashion";"../Shared/images/Fashion/Men Cotton Dark Green T-Shirt.webp";"2023-07-28 19:14:57"
"40";"13";"Men Solid Brown Track Pants";"999";"68";"50";"Welcome to the captivating world of fashion, where style, expression, and individuality converge to create an enchanting tapestry of trends and timeless elegance. Our fashion category offers a curated collection of clothing, accessories, and footwear that cater to every taste and occasion.

Step into a realm of endless possibilities, where you can explore a myriad of styles, from classic and sophisticated to bold and avant-garde. Discover a fusion of contemporary designs and vintage aesthetics, providing something for every fashion enthusiast.

Our clothing selection boasts a diverse range of pieces, from everyday essentials to statement-making outfits. Embrace comfort and confidence with our casual wear, featuring soft fabrics and effortless silhouettes perfect for daily wear. For those special moments, indulge in elegant dresses and sharp suits that exude sophistication and refinement.

Complete your look with our carefully curated accessories, where you'll find exquisite jewelry, stylish handbags, and eye-catching scarves. These little accents can transform any outfit, adding that perfect touch of flair.

Footwear aficionados will be delighted with our collection of shoes that marry fashion with function. From chic heels to comfortable sneakers, our footwear selection ensures you step out in style, no matter the occasion.

We believe in inclusivity and cater to all genders, body types, and ages. Our fashion category celebrates diversity, embracing fashion as a medium for self-expression and empowerment.

Quality is paramount to us, and all our products are sourced from reputable brands and designers who share our commitment to craftsmanship and ethical practices.

As the world of fashion evolves, so do we. Our fashion category is always up-to-date with the latest trends and must-have pieces, making it your go-to destination for staying on the cutting edge of style.

So, whether you're a trendsetter, a fashion-forward individual, or someone seeking timeless elegance, our fashion category promises an exciting and fulfilling shopping experience. Unleash your creativity, explore your personal style, and embrace the magic of fashion with us. Happy shopping!";"Fashion";"../Shared/images/Fashion/Men Solid Brown Track Pants.webp";"2023-07-28 19:15:30"
"41";"13";"Men Blue Cotton Blend Trousers";"4999";"90";"124";"Welcome to the captivating world of fashion, where style, expression, and individuality converge to create an enchanting tapestry of trends and timeless elegance. Our fashion category offers a curated collection of clothing, accessories, and footwear that cater to every taste and occasion.

Step into a realm of endless possibilities, where you can explore a myriad of styles, from classic and sophisticated to bold and avant-garde. Discover a fusion of contemporary designs and vintage aesthetics, providing something for every fashion enthusiast.

Our clothing selection boasts a diverse range of pieces, from everyday essentials to statement-making outfits. Embrace comfort and confidence with our casual wear, featuring soft fabrics and effortless silhouettes perfect for daily wear. For those special moments, indulge in elegant dresses and sharp suits that exude sophistication and refinement.

Complete your look with our carefully curated accessories, where you'll find exquisite jewelry, stylish handbags, and eye-catching scarves. These little accents can transform any outfit, adding that perfect touch of flair.

Footwear aficionados will be delighted with our collection of shoes that marry fashion with function. From chic heels to comfortable sneakers, our footwear selection ensures you step out in style, no matter the occasion.

We believe in inclusivity and cater to all genders, body types, and ages. Our fashion category celebrates diversity, embracing fashion as a medium for self-expression and empowerment.

Quality is paramount to us, and all our products are sourced from reputable brands and designers who share our commitment to craftsmanship and ethical practices.

As the world of fashion evolves, so do we. Our fashion category is always up-to-date with the latest trends and must-have pieces, making it your go-to destination for staying on the cutting edge of style.

So, whether you're a trendsetter, a fashion-forward individual, or someone seeking timeless elegance, our fashion category promises an exciting and fulfilling shopping experience. Unleash your creativity, explore your personal style, and embrace the magic of fashion with us. Happy shopping!";"Fashion";"../Shared/images/Fashion/Men Regular Fit Blue Cotton Blend Trousers.webp";"2023-07-28 19:17:04"
"42";"13";"Men Mid Rise Blue Jeans";"1499";"33";"212";"Welcome to the captivating world of fashion, where style, expression, and individuality converge to create an enchanting tapestry of trends and timeless elegance. Our fashion category offers a curated collection of clothing, accessories, and footwear that cater to every taste and occasion.

Step into a realm of endless possibilities, where you can explore a myriad of styles, from classic and sophisticated to bold and avant-garde. Discover a fusion of contemporary designs and vintage aesthetics, providing something for every fashion enthusiast.

Our clothing selection boasts a diverse range of pieces, from everyday essentials to statement-making outfits. Embrace comfort and confidence with our casual wear, featuring soft fabrics and effortless silhouettes perfect for daily wear. For those special moments, indulge in elegant dresses and sharp suits that exude sophistication and refinement.

Complete your look with our carefully curated accessories, where you'll find exquisite jewelry, stylish handbags, and eye-catching scarves. These little accents can transform any outfit, adding that perfect touch of flair.

Footwear aficionados will be delighted with our collection of shoes that marry fashion with function. From chic heels to comfortable sneakers, our footwear selection ensures you step out in style, no matter the occasion.

We believe in inclusivity and cater to all genders, body types, and ages. Our fashion category celebrates diversity, embracing fashion as a medium for self-expression and empowerment.

Quality is paramount to us, and all our products are sourced from reputable brands and designers who share our commitment to craftsmanship and ethical practices.

As the world of fashion evolves, so do we. Our fashion category is always up-to-date with the latest trends and must-have pieces, making it your go-to destination for staying on the cutting edge of style.

So, whether you're a trendsetter, a fashion-forward individual, or someone seeking timeless elegance, our fashion category promises an exciting and fulfilling shopping experience. Unleash your creativity, explore your personal style, and embrace the magic of fashion with us. Happy shopping!";"Fashion";"../Shared/images/Fashion/Men Mid Rise Blue Jeans.webp";"2023-07-28 19:17:50"
"43";"13";"Rayon Blend Stitched Flared";"1599";"56";"90";"Welcome to the captivating world of fashion, where style, expression, and individuality converge to create an enchanting tapestry of trends and timeless elegance. Our fashion category offers a curated collection of clothing, accessories, and footwear that cater to every taste and occasion.

Step into a realm of endless possibilities, where you can explore a myriad of styles, from classic and sophisticated to bold and avant-garde. Discover a fusion of contemporary designs and vintage aesthetics, providing something for every fashion enthusiast.

Our clothing selection boasts a diverse range of pieces, from everyday essentials to statement-making outfits. Embrace comfort and confidence with our casual wear, featuring soft fabrics and effortless silhouettes perfect for daily wear. For those special moments, indulge in elegant dresses and sharp suits that exude sophistication and refinement.

Complete your look with our carefully curated accessories, where you'll find exquisite jewelry, stylish handbags, and eye-catching scarves. These little accents can transform any outfit, adding that perfect touch of flair.

Footwear aficionados will be delighted with our collection of shoes that marry fashion with function. From chic heels to comfortable sneakers, our footwear selection ensures you step out in style, no matter the occasion.

We believe in inclusivity and cater to all genders, body types, and ages. Our fashion category celebrates diversity, embracing fashion as a medium for self-expression and empowerment.

Quality is paramount to us, and all our products are sourced from reputable brands and designers who share our commitment to craftsmanship and ethical practices.

As the world of fashion evolves, so do we. Our fashion category is always up-to-date with the latest trends and must-have pieces, making it your go-to destination for staying on the cutting edge of style.

So, whether you're a trendsetter, a fashion-forward individual, or someone seeking timeless elegance, our fashion category promises an exciting and fulfilling shopping experience. Unleash your creativity, explore your personal style, and embrace the magic of fashion with us. Happy shopping!";"Fashion";"../Shared/images/Fashion/Rayon Blend Stitched Flared.webp";"2023-07-28 19:18:38"
"44";"13";"Women Crepe Straight Kurta";"999";"80";"320";"Welcome to the captivating world of fashion, where style, expression, and individuality converge to create an enchanting tapestry of trends and timeless elegance. Our fashion category offers a curated collection of clothing, accessories, and footwear that cater to every taste and occasion.

Step into a realm of endless possibilities, where you can explore a myriad of styles, from classic and sophisticated to bold and avant-garde. Discover a fusion of contemporary designs and vintage aesthetics, providing something for every fashion enthusiast.

Our clothing selection boasts a diverse range of pieces, from everyday essentials to statement-making outfits. Embrace comfort and confidence with our casual wear, featuring soft fabrics and effortless silhouettes perfect for daily wear. For those special moments, indulge in elegant dresses and sharp suits that exude sophistication and refinement.

Complete your look with our carefully curated accessories, where you'll find exquisite jewelry, stylish handbags, and eye-catching scarves. These little accents can transform any outfit, adding that perfect touch of flair.

Footwear aficionados will be delighted with our collection of shoes that marry fashion with function. From chic heels to comfortable sneakers, our footwear selection ensures you step out in style, no matter the occasion.

We believe in inclusivity and cater to all genders, body types, and ages. Our fashion category celebrates diversity, embracing fashion as a medium for self-expression and empowerment.

Quality is paramount to us, and all our products are sourced from reputable brands and designers who share our commitment to craftsmanship and ethical practices.

As the world of fashion evolves, so do we. Our fashion category is always up-to-date with the latest trends and must-have pieces, making it your go-to destination for staying on the cutting edge of style.

So, whether you're a trendsetter, a fashion-forward individual, or someone seeking timeless elegance, our fashion category promises an exciting and fulfilling shopping experience. Unleash your creativity, explore your personal style, and embrace the magic of fashion with us. Happy shopping!";"Fashion";"../Shared/images/Fashion/Women Printed Crepe Straight Kurta.webp";"2023-07-28 19:19:30"
"45";"13";"Embellished Bollywood Chiffon Saree";"3699";"80";"284";"Welcome to the captivating world of fashion, where style, expression, and individuality converge to create an enchanting tapestry of trends and timeless elegance. Our fashion category offers a curated collection of clothing, accessories, and footwear that cater to every taste and occasion.

Step into a realm of endless possibilities, where you can explore a myriad of styles, from classic and sophisticated to bold and avant-garde. Discover a fusion of contemporary designs and vintage aesthetics, providing something for every fashion enthusiast.

Our clothing selection boasts a diverse range of pieces, from everyday essentials to statement-making outfits. Embrace comfort and confidence with our casual wear, featuring soft fabrics and effortless silhouettes perfect for daily wear. For those special moments, indulge in elegant dresses and sharp suits that exude sophistication and refinement.

Complete your look with our carefully curated accessories, where you'll find exquisite jewelry, stylish handbags, and eye-catching scarves. These little accents can transform any outfit, adding that perfect touch of flair.

Footwear aficionados will be delighted with our collection of shoes that marry fashion with function. From chic heels to comfortable sneakers, our footwear selection ensures you step out in style, no matter the occasion.

We believe in inclusivity and cater to all genders, body types, and ages. Our fashion category celebrates diversity, embracing fashion as a medium for self-expression and empowerment.

Quality is paramount to us, and all our products are sourced from reputable brands and designers who share our commitment to craftsmanship and ethical practices.

As the world of fashion evolves, so do we. Our fashion category is always up-to-date with the latest trends and must-have pieces, making it your go-to destination for staying on the cutting edge of style.

So, whether you're a trendsetter, a fashion-forward individual, or someone seeking timeless elegance, our fashion category promises an exciting and fulfilling shopping experience. Unleash your creativity, explore your personal style, and embrace the magic of fashion with us. Happy shopping!";"Fashion";"../Shared/images/Fashion/Embellished Bollywood Chiffon Saree.webp";"2023-07-28 19:20:32"
"46";"13";"Women Top & Pyjama Set Yellow";"1299";"63";"228";"Welcome to the captivating world of fashion, where style, expression, and individuality converge to create an enchanting tapestry of trends and timeless elegance. Our fashion category offers a curated collection of clothing, accessories, and footwear that cater to every taste and occasion.

Step into a realm of endless possibilities, where you can explore a myriad of styles, from classic and sophisticated to bold and avant-garde. Discover a fusion of contemporary designs and vintage aesthetics, providing something for every fashion enthusiast.

Our clothing selection boasts a diverse range of pieces, from everyday essentials to statement-making outfits. Embrace comfort and confidence with our casual wear, featuring soft fabrics and effortless silhouettes perfect for daily wear. For those special moments, indulge in elegant dresses and sharp suits that exude sophistication and refinement.

Complete your look with our carefully curated accessories, where you'll find exquisite jewelry, stylish handbags, and eye-catching scarves. These little accents can transform any outfit, adding that perfect touch of flair.

Footwear aficionados will be delighted with our collection of shoes that marry fashion with function. From chic heels to comfortable sneakers, our footwear selection ensures you step out in style, no matter the occasion.

We believe in inclusivity and cater to all genders, body types, and ages. Our fashion category celebrates diversity, embracing fashion as a medium for self-expression and empowerment.

Quality is paramount to us, and all our products are sourced from reputable brands and designers who share our commitment to craftsmanship and ethical practices.

As the world of fashion evolves, so do we. Our fashion category is always up-to-date with the latest trends and must-have pieces, making it your go-to destination for staying on the cutting edge of style.

So, whether you're a trendsetter, a fashion-forward individual, or someone seeking timeless elegance, our fashion category promises an exciting and fulfilling shopping experience. Unleash your creativity, explore your personal style, and embrace the magic of fashion with us. Happy shopping!";"Fashion";"../Shared/images/Fashion/Women Top & Pyjama Set Yellow.webp";"2023-07-28 19:22:12"
